id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
48716527.0,14525.0,12942.21048430895,14525.0,12942.21048430895,0.15,507.0,451.7522007259647,41913.0,37345.739623328125,1.122296690940857,6.0,1.0,36.0,16.0,1.0,2.0
48716938.0,12000.0,10948.560201622675,12000.0,10948.560201622675,0.13,275.0,250.90450462051962,2191.0,1999.02461681294,1.0960345268249512,5.0,1.0,60.0,13.0,1.0,0.0
48724609.0,8000.0,7235.3226647623715,8000.0,7235.3226647623715,0.28,268.0,242.38330926953944,8367.0,7567.243092008345,1.1056866943836212,0.0,1.0,36.0,12.0,1.0,2.0
48724820.0,8000.0,7299.040134415116,8000.0,7299.040134415116,0.13,270.0,246.34260453651018,2154.0,1965.26655619127,1.0960345268249512,5.0,1.0,36.0,13.0,1.0,2.0
48725512.0,20000.0,18247.60033603779,20000.0,18247.60033603779,0.28,465.0,424.25670781287863,3729.0,3402.2650826542463,1.0960345268249512,5.0,1.0,60.0,14.0,1.0,4.0
48725601.0,35000.0,31933.300588066133,20000.0,18247.60033603779,0.28,611.0,557.4641902659545,4330.0,3950.605472752182,1.0960345268249512,5.0,1.0,36.0,2.0,1.0,4.0
48726268.0,14400.0,13138.27224194721,14400.0,13138.27224194721,0.28,471.0,429.73098791369,3753.0,3424.1622030574913,1.0960345268249512,5.0,1.0,36.0,9.0,1.0,3.0
48726375.0,6500.0,5930.470109212282,6500.0,5930.470109212282,0.14,224.0,204.37312376362325,1788.0,1631.3354700417785,1.0960345268249512,5.0,1.0,60.0,15.0,1.0,1.0
48726593.0,4000.0,3649.520067207558,4000.0,3649.520067207558,0.17,143.0,130.4703424026702,1146.0,1045.5874992549655,1.0960345268249512,5.0,1.0,36.0,19.0,1.0,2.0
48734228.0,25000.0,22809.50042004724,25000.0,22809.50042004724,0.13,854.0,779.1725343488137,5941.0,5420.449679820026,1.0960345268249512,5.0,1.0,36.0,15.0,1.0,1.0
48734285.0,14400.0,13138.27224194721,14400.0,13138.27224194721,0.19,377.0,343.96726633431234,3036.0,2769.9857310105367,1.0960345268249512,5.0,1.0,60.0,25.0,1.0,3.0
48734318.0,28000.0,25546.64047045291,28000.0,25546.64047045291,0.28,876.0,799.2448947184553,6119.0,5582.853322810762,1.0960345268249512,5.0,1.0,36.0,5.0,1.0,4.0
48734361.0,16000.0,14598.080268830232,16000.0,14598.080268830232,0.14,551.0,502.7213892578411,4402.0,4016.296833961918,1.0960345268249512,5.0,0.0,36.0,15.0,1.0,2.0
48734657.0,10800.0,9853.704181460407,10800.0,9853.704181460407,0.19,398.0,363.127246687152,3178.0,2899.543693396405,1.0960345268249512,5.0,0.0,36.0,23.0,0.0,3.0
48735546.0,3600.0,3284.5680604868026,3600.0,3284.5680604868026,0.28,120.0,109.48560201622675,961.0,876.7971961466159,1.0960345268249512,5.0,1.0,36.0,12.0,1.0,3.0
48735673.0,15000.0,13685.700252028342,1000.0,912.3800168018895,0.28,469.0,427.9062278800862,4920.0,4488.909682665297,1.0960345268249512,5.0,1.0,36.0,5.0,0.0,2.0
48735895.0,8500.0,7755.230142816061,8500.0,7755.230142816061,0.28,285.0,260.0283047885385,1989.0,1814.7238534189582,1.0960345268249512,5.0,1.0,36.0,12.0,1.0,0.0
48744342.0,10000.0,9123.800168018895,10000.0,9123.800168018895,0.18,258.0,235.3940443348875,2047.0,1867.641894393468,1.0960345268249512,5.0,1.0,60.0,22.0,0.0,1.0
48745394.0,9000.0,8211.420151217006,9000.0,8211.420151217006,0.15,314.0,286.4873252757933,924.0,843.0391355249459,1.0960345268249512,5.0,0.0,36.0,16.0,1.0,4.0
48745457.0,25000.0,22809.50042004724,25000.0,22809.50042004724,0.28,543.0,495.42234912342605,3788.0,3456.0955036455575,1.0960345268249512,5.0,1.0,60.0,9.0,1.0,1.0
48746237.0,35000.0,31933.300588066133,6000.0,5474.280100811337,0.28,184.0,167.87792309154767,1461.0,1332.9872045475606,1.0960345268249512,5.0,1.0,36.0,3.0,0.0,1.0
48746908.0,9000.0,8211.420151217006,9000.0,8211.420151217006,0.28,300.0,273.71400504056686,9580.0,8740.600560962102,1.0960345268249512,5.0,1.0,36.0,11.0,1.0,1.0
48755590.0,35000.0,31654.536658335375,35000.0,31654.536658335375,0.22,986.0,891.7535184319622,7847.0,7096.947118798791,1.1056866943836212,0.0,1.0,60.0,26.0,1.0,1.0
48755598.0,25000.0,22809.50042004724,25000.0,22809.50042004724,0.13,581.0,530.0927897618978,4613.0,4208.809017507117,1.0960345268249512,5.0,1.0,60.0,14.0,1.0,2.0
48764381.0,8000.0,7299.040134415116,8000.0,7299.040134415116,0.28,266.0,242.69308446930262,2129.0,1942.457055771223,1.0960345268249512,5.0,0.0,36.0,11.0,1.0,4.0
48764556.0,15000.0,13685.700252028342,15000.0,13685.700252028342,0.15,361.0,329.3691860654821,2880.0,2627.6544483894418,1.0960345268249512,5.0,1.0,60.0,20.0,1.0,4.0
48765764.0,10000.0,9123.800168018895,10000.0,9123.800168018895,0.28,333.0,303.8225455950292,2317.0,2113.984498929978,1.0960345268249512,5.0,1.0,36.0,11.0,1.0,0.0
48765852.0,12000.0,10948.560201622675,12000.0,10948.560201622675,0.13,410.0,374.0758068887747,3261.0,2975.271234790962,1.0960345268249512,5.0,1.0,36.0,14.0,0.0,3.0
48816277.0,9600.0,8758.84816129814,9600.0,8758.84816129814,0.28,295.0,269.1521049565574,2363.0,2155.953979702865,1.0960345268249512,5.0,1.0,36.0,3.0,0.0,2.0
48816434.0,6400.0,5839.232107532093,6400.0,5839.232107532093,0.13,216.0,197.07408362920813,1728.0,1576.592669033665,1.0960345268249512,5.0,1.0,60.0,13.0,0.0,2.0
48836121.0,35000.0,31933.300588066133,35000.0,31933.300588066133,0.17,1262.0,1151.4235812039847,7542.0,6881.170086719851,1.0960345268249512,5.0,0.0,36.0,20.0,1.0,2.0
48856484.0,20000.0,18247.60033603779,20000.0,18247.60033603779,0.14,689.0,628.6298315765019,4788.0,4368.475520447447,1.0960345268249512,5.0,1.0,60.0,15.0,1.0,2.0
48866434.0,3000.0,2737.1400504056687,1000.0,912.3800168018895,0.28,100.0,91.23800168018896,296.0,270.0644849733593,1.0960345268249512,5.0,0.0,36.0,12.0,0.0,4.0
48886571.0,6050.0,5390.731389333504,6050.0,5390.731389333504,0.16,214.0,190.68041608551567,1494.0,1331.1987926717777,1.122296690940857,6.0,1.0,36.0,17.0,0.0,3.0
48896330.0,8400.0,7663.992141135872,8400.0,7663.992141135872,0.28,280.0,255.46640470452908,41913.0,38240.58364421759,1.0960345268249512,5.0,1.0,36.0,11.0,0.0,2.0
48896477.0,6000.0,5346.179890248103,6000.0,5346.179890248103,0.13,203.0,180.8790862867275,1412.0,1258.1343341717204,1.122296690940857,6.0,1.0,36.0,13.0,1.0,3.0
48896507.0,35000.0,31933.300588066133,1000.0,912.3800168018895,0.21,966.0,881.3590962306253,6722.0,6133.018472942302,1.0960345268249512,5.0,1.0,60.0,26.0,1.0,4.0
48896625.0,16375.0,14940.222775130942,16375.0,14940.222775130942,0.19,426.0,388.67388715760495,3394.0,3096.617777025613,1.0960345268249512,5.0,1.0,60.0,23.0,1.0,2.0
48896701.0,16700.0,15236.746280591555,16700.0,15236.746280591555,0.2,451.0,411.4833875776522,3594.0,3279.093780385991,1.0960345268249512,5.0,1.0,60.0,25.0,0.0,3.0
